Variant,Number of page views,GMV (in $),Number of add to cart,Clicks on media,Time on Page (sec),user_id
A,7,0.0,0,1,10,869
A,7,102.97,3,2,80,870
A,6,0.0,3,4,33,871
A,6,0.0,3,2,4,872
A,4,0.0,3,3,7,873
A,3,0.0,2,1,8,874
A,6,0.0,5,5,21,875
A,3,0.0,3,1,28,876
A,10,0.0,1,1,27,877
A,5,111.01,4,2,14,878
A,6,0.0,2,1,33,879
A,6,0.0,2,0,12,880
A,4,0.0,0,2,3,881
A,6,0.0,1,1,17,882
A,5,113.52,2,2,60,883
A,3,101.4,1,0,31,884
A,2,0.0,3,0,17,885
A,3,0.0,5,3,21,886
A,2,0.0,2,0,53,887
A,8,0.0,2,3,11,888
A,7,104.33,2,2,8,889
A,4,0.0,1,1,74,890
A,3,0.0,1,2,39,891
A,3,0.0,3,1,8,892
A,6,0.0,4,1,13,893
A,5,0.0,2,3,11,894
A,1,0.0,4,0,4,895
A,8,0.0,2,2,62,896
A,9,0.0,3,5,11,897
A,4,107.82,2,1,41,898
A,7,0.0,3,3,5,899
A,3,0.0,2,1,16,900
A,7,0.0,3,3,1,901
A,5,0.0,0,3,29,902
A,6,0.0,2,1,17,903
A,8,71.86,2,1,20,904
A,2,0.0,3,0,2,905
A,4,0.0,2,2,5,906
A,9,0.0,0,2,2,907
A,4,0.0,1,0,7,908
A,4,0.0,4,1,20,909
A,3,0.0,2,2,17,910
A,4,0.0,2,2,19,911
A,4,0.0,1,1,16,912
A,6,0.0,2,1,7,913
A,7,0.0,1,2,6,914
A,3,0.0,2,0,3,915
A,6,0.0,1,0,37,916
A,8,114.55,2,4,19,917
A,7,0.0,1,6,5,918
A,3,0.0,3,0,4,919
A,4,51.47,1,0,41,920
A,6,0.0,2,1,27,921
A,8,0.0,1,2,21,922
A,3,0.0,0,0,11,923
A,4,0.0,1,1,6,924
A,3,0.0,2,0,76,925
A,8,0.0,0,3,32,926
A,1,0.0,2,1,8,927
A,3,0.0,2,1,37,928
A,7,0.0,0,2,28,929
A,5,0.0,1,3,7,930
A,9,0.0,2,5,11,931
A,5,0.0,0,1,5,932
A,4,0.0,4,0,3,933
A,5,0.0,4,1,26,934
A,7,59.11,1,1,7,935
A,3,0.0,2,1,34,936
A,6,0.0,3,2,106,937
A,7,0.0,4,2,2,938
A,4,0.0,3,1,13,939
A,4,0.0,1,1,32,940
A,4,0.0,3,3,31,941
A,3,0.0,1,0,28,942
A,4,0.0,1,2,9,943
A,2,0.0,1,0,12,944
A,7,0.0,3,0,18,945
A,6,0.0,0,2,72,946
A,7,0.0,3,1,8,947
A,5,0.0,0,0,51,948
A,4,0.0,2,0,7,949
A,5,0.0,0,2,89,950
A,4,0.0,0,2,22,951
A,7,0.0,0,1,13,952
A,5,0.0,1,2,19,953
A,6,132.01,1,1,7,954
A,5,0.0,3,2,7,955
A,2,0.0,1,0,3,956
A,4,0.0,0,2,3,957
A,4,0.0,3,4,9,958
A,6,0.0,2,4,29,959
A,11,0.0,1,0,19,960
A,6,0.0,1,3,3,961
A,8,108.3,3,1,38,962
A,5,0.0,3,3,18,963
A,3,0.0,1,0,64,964
A,5,0.0,2,1,22,965
A,1,0.0,3,0,4,966
A,8,0.0,2,1,13,967
A,6,0.0,1,2,21,968
A,4,0.0,2,3,1,969
A,7,0.0,1,2,1,970
A,1,0.0,2,1,3,971
A,7,92.71,4,3,6,972
A,3,0.0,1,0,11,973
A,9,0.0,0,1,14,974
A,4,0.0,1,0,3,975
A,2,0.0,4,0,22,976
A,4,0.0,2,1,18,977
A,6,0.0,0,0,7,978
A,2,0.0,1,0,1,979
A,1,0.0,0,0,2,980
A,7,0.0,3,4,10,981
A,7,0.0,1,1,4,982
A,6,79.5,2,2,10,983
A,8,0.0,2,3,20,984
A,7,0.0,3,2,16,985
A,5,0.0,2,0,6,986
A,6,0.0,1,1,9,987
A,6,0.0,4,0,19,988
A,7,122.95,2,2,39,989
A,6,0.0,2,1,28,990
A,3,0.0,1,1,16,991
A,3,0.0,4,1,9,992
A,1,0.0,1,0,9,993
A,5,0.0,3,1,42,994
A,3,0.0,2,1,1,995
A,9,0.0,1,4,87,996
A,8,0.0,1,1,22,997
A,4,0.0,0,2,23,998
A,2,0.0,1,1,1,999
B,3,0.0,2,1,16,1000
B,1,0.0,3,0,6,1001
B,8,0.0,3,2,6,1002
B,6,0.0,0,0,31,1003
B,1,0.0,5,0,68,1004
B,9,0.0,5,5,9,1005
B,3,0.0,3,1,24,1006
B,9,0.0,3,1,7,1007
B,4,0.0,3,1,54,1008
B,3,0.0,2,2,23,1009
B,7,0.0,1,1,34,1010
B,5,0.0,3,1,2,1011
B,6,0.0,3,1,19,1012
B,3,0.0,2,1,16,1013
B,7,0.0,5,3,8,1014
B,6,0.0,5,1,7,1015
B,7,0.0,2,2,18,1016
B,7,0.0,1,2,26,1017
B,3,0.0,1,0,1,1018
B,5,0.0,3,1,18,1019
B,9,0.0,5,2,4,1020
B,5,0.0,2,0,4,1021
B,7,0.0,1,3,21,1022
B,3,0.0,4,0,8,1023
B,6,0.0,6,0,12,1024
B,6,0.0,1,1,10,1025
B,5,0.0,3,0,22,1026
B,6,0.0,3,1,14,1027
B,5,87.91,5,1,68,1028
B,5,0.0,2,2,9,1029
B,5,0.0,0,3,28,1030
B,8,0.0,0,3,7,1031
B,5,0.0,2,0,15,1032
B,3,0.0,4,2,17,1033
B,3,0.0,3,0,9,1034
B,3,0.0,1,1,14,1035
B,8,0.0,4,2,7,1036
B,3,0.0,4,0,1,1037
B,3,0.0,1,2,5,1038
B,11,0.0,1,2,25,1039
B,4,0.0,5,1,31,1040
B,10,0.0,2,1,7,1041
B,8,0.0,3,3,11,1042
B,3,0.0,5,1,1,1043
B,7,0.0,1,1,6,1044
B,5,0.0,0,2,31,1045
B,3,0.0,3,1,20,1046
B,5,0.0,1,1,5,1047
B,6,0.0,5,2,7,1048
B,5,0.0,3,1,35,1049
B,5,0.0,5,0,5,1050
B,3,0.0,3,1,9,1051
B,9,0.0,1,2,23,1052
B,6,0.0,0,1,17,1053
B,7,0.0,0,3,13,1054
B,5,0.0,2,0,48,1055
B,6,0.0,3,1,6,1056
B,6,0.0,3,0,28,1057
B,6,0.0,3,0,4,1058
B,3,0.0,0,0,20,1059
B,5,0.0,2,4,42,1060
B,4,60.58,1,0,13,1061
B,8,0.0,1,2,27,1062
B,4,0.0,0,0,36,1063
B,2,0.0,3,1,3,1064
B,6,0.0,2,4,26,1065
B,4,0.0,2,0,52,1066
B,3,0.0,0,2,18,1067
B,4,0.0,4,4,5,1068
B,6,0.0,2,2,3,1069
B,2,91.78,4,0,7,1070
B,7,0.0,3,2,3,1071
B,4,0.0,6,2,15,1072
B,10,0.0,0,1,2,1073
B,8,0.0,3,2,6,1074
B,6,0.0,3,1,12,1075
B,7,0.0,3,1,14,1076
B,3,100.06,2,2,18,1077
B,4,0.0,4,1,26,1078
B,9,0.0,4,2,1,1079
B,4,0.0,2,1,2,1080
B,5,0.0,2,0,2,1081
B,6,0.0,3,1,12,1082
B,5,0.0,2,1,1,1083
B,3,0.0,2,0,29,1084
B,4,0.0,3,0,6,1085
B,8,0.0,3,0,58,1086
B,6,0.0,2,1,14,1087
B,5,0.0,2,2,13,1088
B,7,0.0,2,3,32,1089
B,2,0.0,4,0,26,1090
B,5,0.0,5,1,20,1091
B,2,0.0,4,1,57,1092
B,4,0.0,4,1,12,1093
B,10,0.0,3,5,34,1094
B,4,0.0,2,2,10,1095
B,4,0.0,6,0,38,1096
B,11,0.0,1,2,7,1097
B,3,0.0,0,0,7,1098
B,4,0.0,2,0,24,1099
B,2,0.0,0,1,5,1100
B,4,0.0,3,2,6,1101
B,4,0.0,5,0,8,1102
B,5,102.6,5,1,24,1103
B,3,0.0,2,1,46,1104
B,9,0.0,2,2,24,1105
B,3,0.0,1,1,37,1106
B,4,0.0,2,2,17,1107
B,5,0.0,4,0,2,1108
B,5,0.0,5,0,3,1109
B,9,0.0,0,0,17,1110
B,4,0.0,1,1,9,1111
B,6,0.0,1,1,6,1112
B,3,0.0,3,1,13,1113
B,8,112.38,1,2,23,1114
B,7,0.0,1,3,10,1115
B,5,0.0,0,1,34,1116
B,9,0.0,3,2,28,1117
B,3,0.0,2,1,28,1118
B,1,0.0,2,1,87,1119
B,7,0.0,2,1,8,1120
B,6,0.0,4,1,22,1121
B,3,0.0,1,1,40,1122
B,10,0.0,5,1,18,1123
B,5,0.0,4,1,32,1124
B,11,0.0,3,2,11,1125
B,2,0.0,1,0,19,1126
B,3,0.0,4,0,2,1127
B,3,0.0,1,1,88,1128
B,2,0.0,4,1,33,1129
B,3,0.0,3,1,42,1130
B,6,0.0,3,4,25,1131
B,6,0.0,3,0,5,1132
B,7,0.0,3,1,1,1133
B,3,0.0,5,1,41,1134
B,5,0.0,0,1,11,1135
B,2,0.0,1,0,7,1136
B,5,0.0,4,0,17,1137
B,5,0.0,4,1,12,1138
B,3,0.0,3,1,22,1139
B,2,0.0,3,0,14,1140
B,3,0.0,2,2,25,1141
B,10,0.0,2,1,40,1142
B,8,0.0,4,5,5,1143
B,5,0.0,2,2,9,1144
B,6,0.0,0,1,12,1145
B,3,0.0,1,1,68,1146
B,13,0.0,5,4,10,1147
B,6,0.0,2,1,10,1148
B,5,0.0,3,1,22,1149
B,3,0.0,0,1,12,1150
B,7,0.0,1,2,62,1151
B,2,0.0,1,0,47,1152
B,6,0.0,2,1,15,1153
B,8,0.0,4,2,22,1154
B,3,89.8,3,1,2,1155
B,8,0.0,0,2,25,1156
B,3,0.0,2,1,26,1157
B,5,0.0,2,2,10,1158
B,6,0.0,5,2,6,1159
B,3,84.12,2,1,51,1160
B,7,0.0,5,2,12,1161
B,5,0.0,2,2,22,1162
B,4,0.0,2,1,1,1163
B,9,0.0,4,0,11,1164
B,4,0.0,4,4,35,1165
B,2,0.0,2,0,11,1166
B,7,0.0,2,1,19,1167
B,1,0.0,5,0,5,1168
B,0,0.0,0,0,12,1169
B,3,0.0,2,1,54,1170
B,10,0.0,1,2,18,1171
B,2,0.0,1,1,48,1172
B,9,0.0,6,1,48,1173
B,3,0.0,3,0,60,1174
B,6,0.0,1,1,47,1175
B,5,0.0,5,1,1,1176
B,3,0.0,2,1,56,1177
B,8,0.0,2,2,4,1178
B,4,0.0,0,1,1,1179
B,5,0.0,2,3,2,1180
B,4,0.0,0,0,9,1181
B,4,0.0,1,1,20,1182
B,3,0.0,3,0,11,1183
B,5,0.0,5,0,1,1184
B,3,0.0,2,0,14,1185
B,7,0.0,0,0,12,1186
B,2,0.0,2,1,29,1187
B,7,104.69,1,2,7,1188
B,4,0.0,2,2,6,1189
B,3,0.0,5,1,7,1190
B,4,0.0,5,1,8,1191
B,9,0.0,0,3,19,1192
B,14,0.0,1,6,14,1193
B,8,0.0,2,0,9,1194
B,1,0.0,1,0,10,1195
B,6,0.0,5,2,10,1196
B,2,0.0,1,2,74,1197
B,4,0.0,1,3,6,1198
B,4,0.0,0,1,35,1199
B,8,0.0,4,1,26,1200
B,7,0.0,1,0,1,1201
B,4,0.0,2,2,103,1202
B,8,0.0,2,2,29,1203
B,6,0.0,4,1,24,1204
B,7,0.0,1,4,11,1205
B,6,0.0,0,0,17,1206
B,8,0.0,1,3,6,1207
B,7,0.0,4,2,1,1208
B,2,0.0,5,0,38,1209
B,2,0.0,2,0,47,1210
B,6,0.0,5,0,4,1211
B,8,0.0,1,2,32,1212
B,4,0.0,2,1,28,1213
B,6,0.0,1,0,5,1214
B,8,0.0,4,5,12,1215
B,6,0.0,3,1,12,1216
B,4,0.0,3,0,30,1217
B,6,0.0,2,1,38,1218
B,6,0.0,7,0,3,1219
B,5,0.0,1,5,17,1220
B,4,0.0,2,0,30,1221
B,4,0.0,5,1,32,1222
B,9,63.02,1,4,4,1223
B,5,0.0,1,2,16,1224
B,7,0.0,3,1,40,1225
B,11,0.0,3,5,8,1226
B,6,0.0,6,2,12,1227
B,8,77.13,2,1,34,1228
B,8,0.0,1,2,2,1229
B,5,0.0,3,3,41,1230
B,6,0.0,3,1,8,1231
B,10,0.0,3,3,1,1232
B,9,0.0,3,5,6,1233
B,5,0.0,2,2,2,1234
B,6,0.0,5,0,2,1235
B,2,0.0,1,0,25,1236
B,4,0.0,3,1,5,1237
B,4,0.0,4,0,56,1238
B,7,0.0,1,4,15,1239
B,3,0.0,4,0,13,1240
B,3,0.0,0,1,12,1241
B,6,0.0,3,2,25,1242
B,3,0.0,3,1,13,1243
B,5,0.0,4,1,3,1244
B,3,0.0,2,0,44,1245
B,8,64.78,4,2,12,1246
B,3,0.0,3,2,2,1247
B,8,0.0,1,3,16,1248
B,5,0.0,3,1,22,1249
B,7,0.0,3,0,7,1250
B,3,0.0,3,1,34,1251
B,5,0.0,2,3,23,1252
B,7,0.0,3,1,22,1253
B,10,0.0,1,3,12,1254
B,7,0.0,2,1,67,1255
B,7,0.0,1,2,7,1256
B,7,0.0,4,3,18,1257
B,5,0.0,5,0,8,1258
B,2,0.0,2,0,28,1259
B,3,0.0,4,0,2,1260
B,9,0.0,4,2,1,1261
B,4,0.0,5,1,35,1262
B,8,0.0,0,0,12,1263
B,10,0.0,0,3,9,1264
B,4,0.0,0,0,20,1265
B,4,133.13,4,1,25,1266
B,5,0.0,3,0,5,1267
B,4,0.0,0,1,5,1268
B,5,82.03,1,2,66,1269
B,6,0.0,2,4,19,1270
B,3,90.74,1,2,11,1271
B,3,0.0,1,0,34,1272
B,5,70.13,7,0,16,1273
B,4,0.0,3,1,6,1274
B,5,0.0,1,1,5,1275
B,8,0.0,0,0,11,1276
B,4,0.0,2,0,41,1277
B,7,0.0,2,2,2,1278
B,4,0.0,1,2,6,1279
B,4,0.0,1,2,46,1280
B,11,91.69,4,1,3,1281
B,7,0.0,2,1,21,1282
B,2,0.0,4,0,5,1283
B,6,0.0,4,1,20,1284
B,11,0.0,0,4,10,1285
B,3,0.0,4,1,3,1286
B,5,0.0,2,1,18,1287
B,4,0.0,1,0,24,1288
B,2,0.0,4,0,24,1289
B,8,0.0,1,4,21,1290
B,3,0.0,3,0,15,1291
B,7,0.0,2,1,16,1292
B,8,0.0,5,3,21,1293
B,5,0.0,2,2,25,1294
B,6,0.0,5,3,22,1295
B,5,0.0,1,1,19,1296
B,2,0.0,2,0,4,1297
B,2,0.0,1,0,5,1298
B,6,0.0,2,3,7,1299
B,4,0.0,1,2,52,1300
B,5,0.0,3,2,30,1301
B,4,0.0,4,0,17,1302
B,6,98.74,3,2,6,1303
B,3,0.0,1,1,3,1304
B,3,80.33,1,0,47,1305
B,4,0.0,0,0,46,1306
B,3,0.0,5,1,3,1307
B,5,0.0,2,1,33,1308
B,4,91.97,1,2,13,1309
B,8,0.0,5,3,9,1310
B,2,0.0,3,0,28,1311
B,10,0.0,2,3,20,1312
B,7,0.0,3,1,32,1313
B,5,0.0,4,1,2,1314
B,4,110.55,1,1,8,1315
B,4,0.0,6,2,8,1316
B,7,0.0,2,2,9,1317
B,4,0.0,2,2,15,1318
B,6,0.0,4,2,7,1319
B,4,0.0,1,1,13,1320
B,6,0.0,4,1,10,1321
B,5,0.0,3,2,28,1322
B,7,0.0,8,0,19,1323
B,6,111.94,4,3,22,1324
B,2,0.0,2,1,5,1325
B,6,0.0,1,1,9,1326
B,4,115.01,1,3,1,1327
B,7,0.0,1,1,3,1328
B,3,0.0,4,2,7,1329
B,8,0.0,2,1,2,1330
B,6,0.0,2,2,19,1331
B,2,0.0,2,0,129,1332
B,7,0.0,5,2,3,1333
B,15,0.0,1,2,36,1334
B,7,0.0,2,1,3,1335
B,6,94.04,2,0,23,1336
B,3,0.0,1,2,22,1337
B,2,0.0,0,0,48,1338
B,5,0.0,2,2,3,1339
B,7,0.0,2,3,8,1340
B,6,0.0,3,3,2,1341
B,4,0.0,5,0,11,1342
B,0,0.0,0,0,50,1343
B,6,0.0,6,1,32,1344
B,9,0.0,3,3,27,1345
B,2,0.0,1,1,16,1346
B,3,0.0,1,0,45,1347
B,0,0.0,0,0,13,1348
B,5,0.0,2,1,4,1349
B,7,0.0,4,1,38,1350
B,7,0.0,4,3,7,1351
B,9,0.0,2,2,2,1352
B,5,0.0,1,3,3,1353
B,6,0.0,6,1,20,1354
B,5,101.9,1,3,20,1355
B,7,103.48,3,2,7,1356
B,7,0.0,2,3,27,1357
B,3,0.0,5,0,31,1358
B,6,0.0,3,2,52,1359
B,6,0.0,3,0,19,1360
B,3,0.0,1,0,31,1361
B,6,0.0,1,2,29,1362
B,8,88.14,6,3,7,1363
B,5,0.0,0,0,8,1364
B,7,0.0,2,2,14,1365
B,5,0.0,1,1,1,1366
B,3,0.0,3,0,8,1367
B,8,0.0,4,2,14,1368
B,6,0.0,4,2,3,1369
B,2,0.0,1,0,3,1370
B,3,0.0,2,1,13,1371
B,8,0.0,5,2,27,1372
B,3,0.0,0,1,37,1373
B,7,0.0,1,1,17,1374
B,5,0.0,3,2,14,1375
B,3,0.0,2,0,10,1376
B,2,0.0,3,0,5,1377
B,9,0.0,5,1,4,1378
B,4,0.0,3,2,33,1379
B,6,94.58,2,2,13,1380
B,7,0.0,1,0,33,1381
B,3,0.0,6,0,25,1382
B,5,0.0,2,1,5,1383
B,4,79.26,1,0,15,1384
B,7,0.0,4,2,13,1385
B,7,0.0,3,2,12,1386
B,9,0.0,2,4,17,1387
B,8,0.0,0,4,83,1388
B,2,0.0,6,1,35,1389
B,9,0.0,1,0,48,1390
B,2,0.0,3,0,1,1391
B,5,70.64,1,1,4,1392
B,4,0.0,4,1,2,1393
B,5,0.0,3,1,7,1394
B,4,0.0,3,3,12,1395
B,8,0.0,1,3,22,1396
B,0,0.0,0,0,15,1397
B,7,0.0,3,1,48,1398
B,4,0.0,6,2,58,1399
B,6,0.0,1,2,4,1400
B,2,0.0,2,0,40,1401
B,4,0.0,4,1,14,1402
B,3,91.03,3,1,13,1403
B,3,100.44,4,1,32,1404
B,4,0.0,0,0,3,1405
B,5,0.0,3,2,44,1406
B,8,0.0,1,2,23,1407
B,8,84.81,1,1,43,1408
B,1,0.0,1,0,107,1409
B,8,0.0,6,3,15,1410
B,1,0.0,2,1,3,1411
B,3,0.0,5,0,4,1412
B,5,0.0,4,4,9,1413
B,7,0.0,3,1,3,1414
B,5,0.0,4,1,35,1415
B,6,0.0,3,2,8,1416
B,3,0.0,3,0,77,1417
B,3,0.0,2,1,25,1418
B,5,0.0,3,2,4,1419
B,4,0.0,1,1,14,1420
B,5,0.0,5,1,13,1421
B,3,0.0,1,0,14,1422
B,5,0.0,1,0,16,1423
B,4,0.0,3,0,1,1424
B,9,0.0,3,5,24,1425
B,2,0.0,3,1,14,1426
B,5,0.0,0,3,33,1427
B,5,0.0,2,0,35,1428
B,2,0.0,1,1,6,1429
B,5,0.0,1,0,2,1430
B,5,0.0,2,2,25,1431
B,5,0.0,4,1,79,1432
B,2,67.87,4,0,13,1433
B,4,98.28,3,1,7,1434
B,4,0.0,0,0,4,1435
B,7,0.0,1,2,7,1436
B,2,0.0,2,1,9,1437
B,3,79.18,5,1,12,1438
B,5,0.0,4,4,22,1439
B,5,0.0,2,1,7,1440
B,6,0.0,4,1,2,1441
B,5,0.0,3,2,10,1442
B,3,0.0,2,1,40,1443
B,2,0.0,3,0,15,1444
B,5,0.0,1,2,69,1445
B,7,0.0,1,0,15,1446
B,5,0.0,0,0,7,1447
B,5,0.0,1,0,5,1448
B,7,0.0,2,0,25,1449
B,7,0.0,4,0,16,1450
B,10,120.36,1,0,19,1451
B,4,0.0,5,1,29,1452
B,4,0.0,2,0,27,1453
B,0,0.0,0,0,1,1454
B,3,0.0,1,1,34,1455
B,4,0.0,3,0,16,1456
B,9,0.0,2,0,11,1457
B,7,0.0,1,1,16,1458
B,7,0.0,1,1,20,1459
B,5,0.0,2,1,4,1460
B,8,94.58,1,2,12,1461
B,7,0.0,0,2,9,1462
B,3,87.95,1,1,9,1463
B,2,0.0,3,1,2,1464
B,2,0.0,3,0,4,1465
B,6,0.0,3,1,4,1466
B,2,0.0,2,0,10,1467
B,10,0.0,3,3,47,1468
B,10,0.0,3,1,5,1469
B,3,0.0,1,1,12,1470
B,3,0.0,1,0,8,1471
B,8,141.27,5,2,32,1472
B,6,0.0,4,3,2,1473
B,7,94.12,4,4,5,1474
B,5,0.0,0,0,5,1475
B,5,0.0,0,1,102,1476
B,9,0.0,2,3,18,1477
B,2,0.0,2,0,4,1478
B,6,0.0,4,1,7,1479
B,5,0.0,3,2,4,1480
B,7,0.0,2,2,3,1481
B,6,0.0,2,4,33,1482
B,8,0.0,1,2,15,1483
B,6,0.0,1,1,21,1484
B,6,0.0,0,2,9,1485
B,5,0.0,2,2,17,1486
B,7,0.0,3,2,7,1487
B,4,0.0,4,1,8,1488
B,2,0.0,0,2,22,1489
B,6,0.0,3,2,4,1490
B,6,0.0,0,1,20,1491
B,4,0.0,2,1,40,1492
B,3,0.0,0,1,3,1493
B,3,0.0,4,0,47,1494
B,10,0.0,1,2,2,1495
B,6,0.0,7,2,9,1496
B,6,0.0,2,1,20,1497
B,4,0.0,1,2,17,1498
B,2,0.0,1,0,3,1499
B,7,0.0,3,4,33,1500
B,6,0.0,1,1,75,1501
B,5,0.0,3,0,5,1502
B,5,0.0,0,1,47,1503
B,8,102.88,4,2,17,1504
B,9,0.0,1,2,57,1505
B,2,0.0,1,0,4,1506
B,6,0.0,1,2,33,1507
B,3,0.0,1,0,2,1508
B,2,0.0,2,1,45,1509
B,5,0.0,2,2,23,1510
B,3,0.0,4,1,10,1511
B,4,0.0,4,1,5,1512
B,5,95.78,3,1,35,1513
B,4,0.0,2,1,19,1514
B,5,97.75,1,2,10,1515
B,2,0.0,5,1,13,1516
B,4,0.0,1,1,36,1517
B,5,0.0,2,0,9,1518
B,7,0.0,1,1,2,1519
B,10,0.0,2,2,50,1520
B,6,0.0,2,2,11,1521
B,7,96.33,4,2,9,1522
B,7,0.0,2,1,5,1523
B,8,0.0,8,2,47,1524
B,2,0.0,2,2,6,1525
B,5,0.0,1,2,21,1526
B,4,99.83,6,0,44,1527
B,4,0.0,2,1,1,1528
B,5,0.0,2,1,37,1529
B,5,0.0,2,2,11,1530
B,7,0.0,0,1,22,1531
B,3,0.0,2,1,10,1532
B,3,0.0,3,1,25,1533
B,6,0.0,4,1,7,1534
B,3,0.0,3,1,1,1535
B,9,0.0,2,0,61,1536
B,8,0.0,0,2,1,1537
B,7,0.0,3,0,36,1538
B,3,0.0,2,0,4,1539
B,6,91.66,3,2,11,1540
B,3,0.0,2,0,36,1541
B,8,0.0,0,1,5,1542
B,10,140.43,2,3,42,1543
B,6,0.0,3,2,15,1544
B,7,0.0,1,0,10,1545
B,2,0.0,4,1,23,1546
B,5,0.0,2,0,9,1547
B,8,0.0,0,1,9,1548
B,7,0.0,3,2,28,1549
B,3,0.0,1,0,8,1550
B,5,0.0,4,4,5,1551
B,7,100.01,5,1,34,1552
B,5,0.0,3,2,34,1553
B,4,80.79,1,2,15,1554
B,7,0.0,1,5,16,1555
B,1,0.0,2,0,25,1556
B,5,0.0,2,2,15,1557
B,1,69.8,2,1,12,1558
B,5,0.0,1,0,109,1559
B,9,0.0,4,2,4,1560
B,3,0.0,2,0,19,1561
B,5,0.0,3,1,45,1562
B,7,0.0,1,2,24,1563
B,7,83.41,3,1,44,1564
B,3,0.0,1,1,9,1565
B,11,0.0,4,0,7,1566
B,6,0.0,2,2,40,1567
B,2,90.29,1,0,11,1568
B,4,62.09,6,1,26,1569
B,11,0.0,1,1,4,1570
B,6,0.0,3,1,29,1571
B,7,0.0,0,2,17,1572
B,3,0.0,4,0,7,1573
B,8,0.0,1,2,14,1574
B,7,0.0,2,3,25,1575
B,4,0.0,0,0,1,1576
B,5,0.0,4,2,21,1577
B,4,0.0,1,0,16,1578
B,3,0.0,6,0,6,1579
B,10,0.0,3,1,29,1580
B,3,110.54,2,3,8,1581
B,4,0.0,4,0,7,1582
B,4,0.0,1,2,14,1583
B,2,115.5,2,2,24,1584
B,3,0.0,2,0,55,1585
B,5,0.0,1,1,4,1586
B,12,89.09,1,4,11,1587
B,7,0.0,2,1,2,1588
B,5,0.0,1,0,30,1589
B,6,0.0,2,1,13,1590
B,5,0.0,2,2,26,1591
B,9,0.0,2,3,8,1592
B,3,79.63,2,0,39,1593
B,7,0.0,5,1,16,1594
B,6,71.13,7,3,59,1595
B,5,99.22,2,0,2,1596
B,3,0.0,1,1,15,1597
B,8,0.0,3,0,30,1598
B,4,0.0,1,2,19,1599
B,2,0.0,1,1,1,1600
B,6,0.0,2,1,74,1601
B,3,96.01,2,0,8,1602
B,5,0.0,0,1,6,1603
B,8,0.0,1,1,14,1604
B,9,0.0,4,2,17,1605
B,7,0.0,0,2,30,1606
B,6,0.0,3,1,11,1607
B,4,102.55,1,1,12,1608
B,4,73.76,3,2,16,1609
B,10,0.0,1,3,11,1610
B,7,0.0,10,1,51,1611
B,5,0.0,0,2,40,1612
B,2,0.0,0,1,13,1613
B,8,0.0,4,2,1,1614
B,4,0.0,2,0,48,1615
B,6,0.0,3,0,3,1616
B,6,0.0,0,2,6,1617
B,2,0.0,0,1,4,1618
B,4,0.0,1,1,5,1619
B,3,0.0,3,0,34,1620
B,10,0.0,3,3,18,1621
B,5,0.0,4,2,65,1622
B,6,0.0,1,1,6,1623
B,8,0.0,0,1,14,1624
B,2,0.0,2,1,78,1625
B,8,0.0,3,3,36,1626
B,7,109.43,3,0,27,1627
B,4,0.0,2,1,5,1628
B,5,0.0,3,2,31,1629
B,8,0.0,0,2,9,1630
B,11,0.0,1,3,16,1631
B,6,0.0,3,2,20,1632
B,13,0.0,2,2,20,1633
B,2,0.0,4,0,27,1634
B,1,0.0,4,0,23,1635
B,8,74.34,1,0,2,1636
B,4,0.0,2,1,13,1637
B,4,0.0,3,1,23,1638
B,3,0.0,1,0,8,1639
B,5,0.0,3,1,8,1640
B,7,0.0,3,2,3,1641
B,4,0.0,3,0,12,1642
B,4,0.0,2,1,89,1643
B,7,0.0,6,3,7,1644
B,10,0.0,5,2,16,1645
B,5,0.0,2,1,28,1646
B,7,0.0,3,0,1,1647
B,6,139.34,1,0,48,1648
B,6,0.0,5,0,11,1649
B,6,0.0,0,2,42,1650
B,4,0.0,6,1,1,1651
B,6,0.0,2,1,4,1652
B,10,0.0,0,3,8,1653
B,4,0.0,2,0,9,1654
B,4,83.33,2,0,39,1655
B,8,0.0,1,2,1,1656
B,3,59.79,1,0,22,1657
B,4,0.0,2,1,3,1658
B,5,0.0,1,1,36,1659
B,3,0.0,2,0,31,1660
B,2,0.0,3,1,15,1661
B,9,0.0,5,4,5,1662
B,6,0.0,4,2,21,1663
B,6,0.0,0,3,4,1664
B,7,94.77,3,2,5,1665
B,1,0.0,0,0,21,1666
B,7,0.0,6,2,98,1667
B,7,0.0,4,3,46,1668
B,10,0.0,4,3,19,1669
B,6,0.0,4,0,16,1670
B,3,0.0,2,1,132,1671
B,2,0.0,1,1,17,1672
B,7,0.0,1,3,12,1673
B,3,0.0,1,0,50,1674
B,5,0.0,1,1,6,1675
B,1,0.0,0,0,3,1676
B,8,0.0,2,2,21,1677
B,2,0.0,3,0,3,1678
B,6,0.0,2,1,10,1679
B,4,0.0,2,0,12,1680
B,4,0.0,3,0,17,1681
B,3,0.0,3,1,99,1682
B,7,0.0,4,3,6,1683
B,7,102.04,3,0,10,1684
B,7,0.0,4,2,3,1685
B,4,0.0,1,0,20,1686
B,6,0.0,0,0,27,1687
B,6,0.0,4,2,14,1688
B,6,0.0,2,2,6,1689
B,7,0.0,6,3,20,1690
B,10,0.0,1,2,16,1691
B,12,0.0,2,5,4,1692
B,5,0.0,1,0,11,1693
B,7,114.82,1,1,12,1694
B,10,0.0,3,1,84,1695
B,2,0.0,4,1,39,1696
